,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Trades*Price,Day_Perc_Change,Trend
0,FORTIS,EQ,2017-05-15,208.4,208.4,209.65,204.05,        206.75,205.25,205.66,9078354,1867054982.65,24607,5980115,65.87,2017,5,5050586.75,,Slight or No change
1,FORTIS,EQ,2017-05-16,205.25,206.25,209.45,205.45,        207.70,207.9,207.86,2146212,446110937.1,15071,1127662,52.54,2017,5,3133260.9,0.012911084043848886,Slight or No change
2,FORTIS,EQ,2017-05-17,207.9,208.0,210.8,204.9,        205.30,205.9,208.01,3032479,630785426.7,21453,1609171,53.06,2017,5,4417172.7,-0.00962000962000964,Slight or No change
3,FORTIS,EQ,2017-05-18,205.9,204.0,205.25,195.0,        195.80,196.85,200.05,2852401,570619895.75,18709,1337328,46.88,2017,5,3682866.65,-0.04395337542496358,Slight or No change
4,FORTIS,EQ,2017-05-19,196.85,197.8,204.9,196.45,        204.20,203.55,200.95,4144993,832917326.1,37949,1424440,34.37,2017,5,7724518.95,0.03403606807213633,Slight or No change
5,FORTIS,EQ,2017-05-22,203.55,206.0,206.25,193.5,        195.40,194.8,198.74,3379385,671631356.5,25848,1700659,50.32,2017,5,5035190.4,-0.04298698108572829,Slight or No change
6,FORTIS,EQ,2017-05-23,194.8,195.5,199.0,191.2,        196.95,196.55,196.18,3746973,735080892.7,29372,2086212,55.68,2017,5,5773066.600000001,0.008983572895277181,Slight or No change
7,FORTIS,EQ,2017-05-24,196.55,197.65,200.2,192.5,        194.50,194.35,196.82,2471551,486456184.1,24620,1254518,50.76,2017,5,4784897.0,-0.011193080641058395,Slight or No change
8,FORTIS,EQ,2017-05-25,194.35,192.5,203.5,192.1,        202.50,202.55,199.13,2337720,465502529.9,16209,666465,28.51,2017,5,3283132.95,0.042191921790584175,Slight or No change
9,FORTIS,EQ,2017-05-26,202.55,205.1,206.25,201.75,        202.75,202.75,204.18,2141143,437178776.75,14747,855686,39.96,2017,5,2989954.25,0.0009874105159219937,Slight or No change
10,FORTIS,EQ,2017-05-29,202.75,200.4,203.05,194.9,        196.00,196.1,197.75,928548,183618279.55,7854,231726,24.96,2017,5,1540169.4,-0.0327990135635019,Slight or No change
11,FORTIS,EQ,2017-05-30,196.1,195.0,200.5,193.65,        197.90,198.15,197.15,1134162,223596868.25,8038,227986,20.1,2017,5,1592729.7,0.010453850076491689,Slight or No change
12,FORTIS,EQ,2017-05-31,198.15,198.85,200.8,194.6,        195.55,195.15,196.35,1517166,297893928.15,9887,741440,48.87,2017,5,1929448.05,-0.01514004542013625,Slight or No change
13,FORTIS,EQ,2017-06-01,195.15,195.9,200.25,195.15,        199.80,198.35,197.35,837394,165259710.35,6033,248194,29.64,2017,6,1196645.55,0.01639764283884193,Slight or No change
14,FORTIS,EQ,2017-06-02,198.35,200.05,201.6,191.75,        193.20,192.95,195.33,2967855,579722984.45,15457,1540619,51.91,2017,6,2982428.15,-0.02722460297453999,Slight or No change
15,FORTIS,EQ,2017-06-05,192.95,194.0,196.9,193.6,        194.75,194.9,195.37,1688838,329943733.9,12741,654094,38.73,2017,6,2483220.9,0.010106245141228376,Slight or No change
16,FORTIS,EQ,2017-06-06,194.9,195.4,195.45,189.1,        190.40,191.05,192.04,3708378,712161812.1,17057,2344287,63.22,2017,6,3258739.85,-0.01975371985633656,Slight or No change
17,FORTIS,EQ,2017-06-07,191.05,191.1,198.7,191.1,        194.50,194.05,195.63,3368728,659018005.25,21279,1095546,32.52,2017,6,4129189.95,0.015702695629416397,Slight or No change
18,FORTIS,EQ,2017-06-08,194.05,195.9,196.85,191.8,        192.50,192.95,193.47,2996960,579821552.1,15869,1350749,45.07,2017,6,3061923.55,-0.005668642102551025,Slight or No change
19,FORTIS,EQ,2017-06-09,192.95,193.0,195.5,192.3,        193.35,193.55,193.83,1998918,387449433.9,21047,930423,46.55,2017,6,4073646.85,0.003109613889608731,Slight or No change
20,FORTIS,EQ,2017-06-12,193.55,192.9,194.4,190.8,        191.50,191.45,192.43,1553424,298918150.25,12531,740699,47.68,2017,6,2399059.9499999997,-0.010849909584086936,Slight or No change
21,FORTIS,EQ,2017-06-13,191.45,192.0,193.3,189.1,        189.20,189.45,190.31,3566743,678776508.25,22974,1924672,53.96,2017,6,4352424.3,-0.01044659179942542,Slight or No change
22,FORTIS,EQ,2017-06-14,189.45,189.9,190.75,186.4,        187.15,187.0,188.2,1577482,296882480.45,11467,623443,39.52,2017,6,2144329.0,-0.012932172077065096,Slight or No change
23,FORTIS,EQ,2017-06-15,187.0,187.4,199.9,187.1,        196.70,197.65,194.57,6971986,1356565535.7,43510,2331571,33.44,2017,6,8599751.5,0.05695187165775395,Slight or No change
24,FORTIS,EQ,2017-06-16,197.65,198.3,198.4,189.55,        190.20,190.5,192.12,7414966,1424558026.8,45686,3796470,51.2,2017,6,8703183.0,-0.036175056918795856,Slight or No change
25,FORTIS,EQ,2017-06-19,190.5,191.5,194.4,189.25,        190.00,190.1,191.79,5482255,1051440703.35,28297,2755120,50.26,2017,6,5379259.7,-0.0020997375328084544,Slight or No change
26,FORTIS,EQ,2017-06-20,190.1,195.0,199.4,193.0,        198.10,198.4,195.45,11848712,2315799351.8,48064,4359067,36.79,2017,6,9535897.6,0.04366123093108887,Slight or No change
27,FORTIS,EQ,2017-06-21,198.4,198.0,201.95,194.1,        194.80,194.9,197.94,11095314,2196186460.5,46057,4424809,39.88,2017,6,8976509.3,-0.017641129032258118,Slight or No change
28,FORTIS,EQ,2017-06-22,194.9,199.35,201.6,196.25,        198.65,197.9,198.96,10220365,2033436337.0,44928,3199722,31.31,2017,6,8891251.200000001,0.015392508978963493,Slight or No change
29,FORTIS,EQ,2017-06-23,197.9,186.0,187.5,168.25,        172.60,172.5,178.49,29553250,5274850820.75,130179,8817666,29.84,2017,6,22455877.5,-0.12834765032844875,Slight or No change
30,FORTIS,EQ,2017-06-27,172.5,174.05,175.7,162.95,        164.25,165.25,167.13,12778285,2135647078.55,63707,3245479,25.4,2017,6,10527581.75,-0.04202898550724643,Slight or No change
31,FORTIS,EQ,2017-06-28,165.25,166.65,171.85,165.5,        167.45,167.0,168.76,9996688,1687072869.9,45395,2428491,24.29,2017,6,7580965.0,0.010590015128593144,Slight or No change
32,FORTIS,IL,2017-06-28,108.0,168.5,170.0,168.5,-,169.0,169.0,3188905,538924945.0,31,3188905,100.0,2017,6,5239.0,0.011976047904191711,Slight or No change
33,FORTIS,EQ,2017-06-29,167.0,169.0,169.95,163.3,        165.25,164.4,165.91,12374425,2053080395.95,62262,4311877,34.85,2017,6,10235872.8,-0.02721893491124261,Slight or No change
34,FORTIS,EQ,2017-06-30,164.4,160.0,164.45,157.45,        161.80,162.0,161.78,8337124,1348795147.2,44465,2475371,29.69,2017,6,7203330.0,-0.014598540145985384,Slight or No change
35,FORTIS,EQ,2017-07-03,162.0,163.4,166.0,162.05,        163.40,163.25,163.95,4247225,696317686.1,22518,1649099,38.83,2017,7,3676063.5,0.007716049382715973,Slight or No change
36,FORTIS,EQ,2017-07-04,163.25,163.85,164.65,154.65,        155.55,155.95,158.97,6888990,1095153745.15,37570,2650053,38.47,2017,7,5859041.5,-0.044716692189892826,Slight or No change
37,FORTIS,EQ,2017-07-05,155.95,155.95,162.45,152.25,        161.50,161.15,158.4,12863683,2037590014.05,68288,3671846,28.54,2017,7,11004611.200000001,0.03334402051939733,Slight or No change
38,FORTIS,EQ,2017-07-06,161.15,161.45,165.0,159.8,        161.45,162.35,162.88,4745708,772961842.8,35932,1226456,25.84,2017,7,5833560.2,0.007446478436239357,Slight or No change
39,FORTIS,EQ,2017-07-07,162.35,161.85,164.6,158.0,        158.75,158.85,160.92,3863951,621773374.05,24543,1262551,32.68,2017,7,3898655.55,-0.021558361564521067,Slight or No change
40,FORTIS,EQ,2017-07-10,158.85,174.0,174.7,161.1,        162.50,162.55,162.98,825741,134579146.05,6128,308232,37.33,2017,7,996106.4,0.023292414227258584,Slight or No change
41,FORTIS,EQ,2017-07-11,162.55,163.5,164.2,159.45,        161.80,161.0,162.06,4635145,751177303.7,39772,2184105,47.12,2017,7,6403292.0,-0.009535527529990873,Slight or No change
42,FORTIS,EQ,2017-07-12,161.0,161.9,163.95,159.5,        162.70,162.9,161.95,3747235,606848348.85,27370,1408492,37.59,2017,7,4458573.0,0.011801242236024967,Slight or No change
43,FORTIS,EQ,2017-07-13,162.9,163.5,165.4,162.3,        163.50,164.1,163.41,4897217,800230849.9,22110,3129095,63.9,2017,7,3628251.0,0.007366482504604033,Slight or No change
44,FORTIS,EQ,2017-07-14,164.1,164.0,167.4,162.4,        163.00,162.95,164.79,6047801,996641070.35,30114,2378559,39.33,2017,7,4907076.3,-0.007007921998781308,Slight or No change
45,FORTIS,EQ,2017-07-17,162.95,163.75,163.8,142.15,        149.25,148.4,151.76,24035120,3647683916.35,112338,10159130,42.27,2017,7,16670959.200000001,-0.08929119361767401,Slight or No change
46,FORTIS,EQ,2017-07-18,148.4,149.25,153.8,147.7,        153.10,150.4,150.75,27783163,4188285161.75,61000,18176982,65.42,2017,7,9174400.0,0.013477088948786964,Slight or No change
